policy_id,customer_name,policy_type,coverage_amount,premium,renewal_date
POL058,Kelly Beck,Travel,78000,100,26-11-2025
POL059,Maria Martinez,Travel,123000,600,13-06-2026
POL060,Jose Jones,Auto,122000,400,05-11-2025
POL061,Ronald Colon,Life,514000,1600,28-11-2025
POL062,Mr. Scott Smith,Home,462000,1200,24-10-2025
POL063,Amanda Malone,Travel,64000,500,21-08-2025
POL064,Shannon Martin,Life,736000,2000,14-03-2026
POL065,Dr. Stephen Oliver II,Health,365000,700,13-09-2025
POL066,Ryan Hartman,Life,512000,700,06-09-2025
POL067,Regina Martinez,Travel,66000,100,19-11-2025
POL068,Kristen Thomas,Health,181000,900,17-11-2025
POL069,Arthur Benitez,Auto,77000,600,01-12-2025
POL070,Adam Norman,Travel,100000,200,06-05-2026
POL071,Heather Gray,Health,423000,800,26-06-2026
POL072,Nathaniel Jackson,Travel,76000,300,25-02-2026
POL073,Catherine Porter,Health,213000,700,16-02-2026
POL074,Jorge Mitchell,Home,172000,800,13-04-2026
POL075,Charles Robinson,Auto,289000,700,14-03-2026
POL076,Leslie Smith,Auto,264000,600,23-03-2026
POL077,Gregory Johnson,Health,250000,700,22-01-2026
POL078,Alejandro Scott,Auto,133000,500,22-10-2025
POL079,Stacy Freeman,Home,176000,700,09-06-2026
POL080,Diana Payne,Life,844000,1100,26-11-2025
POL081,Dylan Howard,Life,394000,1900,21-04-2026
POL082,Justin Skinner,Auto,92000,700,02-09-2025
POL083,Matthew Robbins,Home,548000,1400,14-05-2026
POL084,Jonathan Bell,Auto,141000,700,30-10-2025
POL085,Vincent Shaw,Travel,138000,300,01-01-2026
POL086,Sharon Wallace,Health,443000,700,10-06-2026
POL087,James Hall,Auto,109000,700,27-11-2025
POL088,Whitney Rice,Auto,119000,500,14-11-2025
POL089,Vincent Baxter,Home,201000,900,04-03-2026
POL090,Derrick Green,Life,454000,1100,26-08-2025
POL091,Steven Mathis,Travel,110000,500,26-08-2025
POL092,Keith Gonzales,Home,228000,500,03-10-2025
POL093,Deanna Haynes,Home,450000,700,13-04-2026
POL094,Michael Wright,Health,470000,800,01-02-2026
POL095,Stephanie Watkins,Auto,191000,600,10-09-2025
POL096,Linda Graham,Travel,39000,100,19-02-2026
POL097,Elizabeth Smith,Health,294000,900,24-03-2026
POL098,Jessica Smith,Home,663000,1100,25-12-2025
POL099,Lawrence Blevins,Home,364000,400,13-02-2026
POL100,Mr. Jose Simmons,Travel,124000,500,31-12-2025
